MovieID,Title,Genres
1,Toy Story (1995),Animation|Children's|Comedy
2,Jumanji (1995),Adventure|Children's|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children's
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,American President, The (1995),Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Animation|Children's
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Drama|Thriller
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Thriller
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action
21,Get Shorty (1995),Action|Comedy|Crime|Drama
22,Copycat (1995),Crime|Drama|Thriller
23,Assassins (1995),Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
2571,Matrix, The (1999),Action|Sci-Fi|Thriller
858,Godfather, The (1972),Action|Crime|Drama
296,Pulp Fiction (1994),Crime|Drama
318,Shawshank Redemption, The (1994),Drama
356,Forrest Gump (1994),Comedy|Romance|War
2959,Fight Club (1999),Drama|Thriller
593,Silence of the Lambs, The (1991),Drama|Thriller
2858,American Beauty (1999),Comedy|Drama
480,Jurassic Park (1993),Action|Adventure|Sci-Fi
110,Braveheart (1995),Action|Drama|War
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
527,Schindler's List (1993),Drama|War
1198,Raiders of the Lost Ark (1981),Action|Adventure
1,Toy Story (1995),Animation|Children's|Comedy
50,Usual Suspects, The (1995),Crime|Thriller
1270,Back to the Future (1985),Comedy|Sci-Fi
2762,Sixth Sense, The (1999),Thriller
608,Fargo (1996),Crime|Drama|Thriller
2396,Shakespeare in Love (1998),Comedy|Romance
1197,Princess Bride, The (1987),Action|Adventure|Comedy|Romance
541,Blade Runner (1982),Film-Noir|Sci-Fi
3114,Toy Story 2 (1999),Animation|Children's|Comedy
1265,Groundhog Day (1993),Comedy|Romance
1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
1240,Terminator, The (1984),Action|Sci-Fi|Thriller
2028,Saving Private Ryan (1998),Action|Drama|War
2716,Ghostbusters (1984),Comedy|Horror
1214,Alien (1979),Action|Horror|Sci-Fi|Thriller
34,Babe (1995),Children's|Comedy|Drama
1200,Aliens (1986),Action|Sci-Fi|Thriller|War
161,Crimson Tide (1995),Drama|Thriller|War
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
780,Independence Day (ID4) (1996),Action|Sci-Fi|War
32,Twelve Monkeys (1995),Drama|Sci-Fi
3793,X-Men (2000),Action|Sci-Fi
3578,Gladiator (2000),Action|Drama
47,Seven (Se7en) (1995),Crime|Thriller
592,Batman (1989),Action|Adventure|Crime|Drama
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
457,Fugitive, The (1993),Action|Thriller
377,Speed (1994),Action|Romance|Thriller
364,Lion King, The (1994),Animation|Children's|Musical
588,Aladdin (1992),Animation|Children's|Comedy|Musical
595,Beauty and the Beast (1991),Animation|Children's|Musical
367,Mask, The (1994),Comedy|Crime|Fantasy
1721,Titanic (1997),Drama|Romance
1704,Good Will Hunting (1997),Drama
2329,American History X (1998),Drama
